model,workload,prompt_length,output_length,dynamic_ept,maxn_ept,best_static_ept,pareto_ept,oracle_energy_ept,oracle_slo_ept,oracle_slo_tpot,oracle_power_tpot,oracle_power_ept,dynamic_tpot,maxn_tpot,best_static_tpot,pareto_tpot,oracle_energy_tpot,oracle_slo_ept_actual_tpot,oracle_power_ept_actual_tpot,dynamic_power,maxn_power,best_static_power,pareto_power,oracle_energy_power,oracle_slo_power,oracle_power_power,oracle_energy_gpu_mhz,oracle_slo_gpu_mhz,oracle_slo_feasible,oracle_power_gpu_mhz,oracle_power_feasible,best_static_cap_mhz,pareto_cap_mhz,dynamic_vs_oracle_energy_gap_pct,maxn_vs_oracle_energy_gap_pct,best_static_vs_oracle_energy_gap_pct,pareto_vs_oracle_energy_gap_pct
Qwen2.5-7B-Instruct-Q4_K_M,p1024_o128,1024,128,2.346765625,2.3618359375,2.3362890625,2.04465625,2.0030390625,2.0030390625,42.34807438576433,44.16083551184311,2.0762734375,42.59053686556707,40.21169458273945,42.442586653367215,47.12434503154492,42.34807438576433,0.0,0.0,46.213,50.386,46.007,43.619,46.616,46.616,0.0,918,918,True,816,True,1300,714,17.160252584939293,17.912624956608898,16.637219225473793,2.077702241515821
Qwen2.5-7B-Instruct-Q4_K_M,p1024_o512,1024,512,2.20746484375,2.16162890625,2.1138828125,2.051046875,1.663697265625,1.663697265625,45.832336397291165,47.85210724262456,2.118496815286624,43.65397863788986,41.04589849711376,43.61299199207983,42.22140876907097,45.832336397291165,0.0,0.0,50.126,51.477,47.996,48.844,46.044,46.044,0.0,816,816,True,714,True,1300,1122,32.684286339842195,29.929221554496106,27.059342836984175,23.282457534693645
Qwen2.5-7B-Instruct-Q4_K_M,p128_o128,128,128,2.0390625,2.1503203125,2.052703125,2.0427265625,2.005203125,2.005203125,42.354784921493646,44.18711874755026,2.067296875,42.13736767011629,40.13285998394346,42.03911276449868,47.11591962937588,42.354784921493646,0.0,0.0,47.455,50.044,47.772,43.578,46.667,46.667,0.0,918,918,True,816,True,1300,714,1.6885758144826364,7.237031784498137,2.3688373216553744,1.8713035618274323
Qwen2.5-7B-Instruct-Q4_K_M,p128_o512,128,512,2.0991484375,2.12639453125,2.063453125,2.078269129287599,2.0147339449541284,2.0147339449541284,41.35802023179077,48.46173496026013,2.123421875,44.18406316622319,41.26468467719328,43.98511333068479,45.30138895500737,41.35802023179077,0.0,0.0,47.767,51.844,48.022,46.263,48.772,48.772,0.0,1122,1122,True,714,True,1300,816,4.189858058295304,5.542200079346645,2.4181445975975238,3.153527268083885
Qwen2.5-7B-Instruct-Q4_K_M,p2048_o128,2048,128,2.662578125,2.758203125,2.569828125,2.038765625,2.005828125,2.005828125,42.362076079098905,44.18318582640037,2.0730859375,41.894725606388114,41.05658922069449,43.23483444841975,47.119773598021176,42.362076079098905,0.0,0.0,48.68,50.436,46.991,43.494,46.681,46.681,0.0,918,918,True,816,True,1300,714,32.742087510613615,37.50944513254346,28.11806220934309,1.6420898475536165
Qwen2.5-7B-Instruct-Q4_K_M,p2048_o512,2048,512,2.2310703125,2.26887890625,2.2192265625,2.07512890625,2.0269720930232555,2.0269720930232555,40.75393559809374,48.123960700199135,2.1110782122905025,42.54158564780359,41.41565484934306,44.08597479070448,45.81973073573933,40.75393559809374,0.0,0.0,49.666,51.63,47.432,46.187,48.422,48.422,0.0,1122,1122,True,714,True,1300,816,10.069118375099544,11.934392883818008,9.48481087324662,2.3758005052214473
Qwen2.5-7B-Instruct-Q4_K_M,p256_o256,256,256,2.190481481481481,2.1764444444444444,2.213283950617284,2.05771875,1.9921171875,1.9921171875,41.60085043906435,47.46965827036868,2.0795546875,42.146981111727655,40.03830183792161,42.21113301173318,44.5201000080024,41.60085043906435,0.0,0.0,44.455,50.369,44.969,45.807,48.57,48.57,0.0,1020,1020,True,714,True,1300,816,9.957461098481733,9.252832017164868,11.102096026531271,3.293057402025939
Qwen2.5-7B-Instruct-Q4_K_M,p512_o1024,512,1024,2.1727708333333333,2.3469166666666665,2.1888541666666668,2.101091796875,2.0282105263157897,2.0282105263157897,40.84133562361422,49.73906626388201,2.145605083088954,43.993641947102,41.68328445306734,43.76494598967072,46.83411973794851,40.84133562361422,0.0,0.0,46.352,50.068,46.695,45.777,48.936,48.936,0.0,1224,1224,True,714,True,1300,816,7.127480364680633,15.713661684312486,7.920461819251257,3.593377985844396
Qwen2.5-7B-Instruct-Q4_K_M,p512_o128,512,128,2.199291666666667,2.3437291666666664,2.195625,2.03803125,2.0031484375,2.0031484375,42.37792848822052,44.15480274795078,2.073984375,43.82039794796392,41.71287094757549,43.82845065311382,47.12111140165009,42.37792848822052,0.0,0.0,46.918,49.999,46.84,43.478,46.619,46.619,0.0,918,918,True,816,True,1300,714,9.791747106443113,17.002271164273928,9.608701926264512,1.7413992815996593
Qwen2.5-7B-Instruct-Q4_K_M,p512_o512,512,512,2.1951666666666667,2.347354166666667,2.193020833333333,2.079642578125,2.02789453125,2.02789453125,42.894525273927215,48.80949795493327,2.11965234375,43.85652286368177,41.67726822074895,43.76388176736471,45.819990364005406,42.894525273927215,0.0,0.0,46.83,50.077,46.784,46.266,48.292,48.292,0.0,1020,1020,True,714,True,1300,816,8.24856188716875,15.753266774665603,8.14274606192409,2.5518115502339556
Qwen2.5-7B-Instruct-Q4_K_M,p64_o64,64,64,2.1060625,2.227328125,2.117421875,2.059421875,1.95403125,1.95403125,46.9921055704444,39.72761199942657,2.0693125,42.05829228666271,39.99970282524056,41.95717604838253,39.967560826519886,46.9921055704444,0.0,0.0,44.929,47.516,45.172,43.934,41.686,41.686,0.0,714,714,True,1300,True,1300,1224,7.780389899086826,13.986310351996673,8.361720161844886,5.393497417198412
